day,account,carousel,concept,occasion,format,hook,caption,posted_at,views_48h,likes,comments,shares,saves,profile_visits,link_clicks,notes
10,tt-ideas,(second-best slideshow),,,problem slideshow,(new hook from the bank),,,,,,,,,,
11,tt-couple,31,table for two,first-date anniversary,text carousel,he remembered the restaurant AND how late i was,a year since our first date. i was 15 mins late. he says 20. where was ur first date? 🥡,,,,,,,,,
11,tt-ideas,(second-best slideshow),,,problem slideshow,(another new hook),,,,,,,,,,
12,tt-couple,(best so far),,,text carousel,(hook 3),,,,,,,,,,
12,tt-ideas,(new slideshow),,(the winning occasion),problem slideshow,,,,,,,,,,,
13,tt-couple,(second best),,,text carousel,(hook 3),,,,,,,,,,
13,tt-ideas,(new slideshow),,(the winning occasion),problem slideshow,,,,,,,,,,,
14,tt-couple,(third best),,,text carousel,(hook 3),,,,,,,,,,
14,tt-ideas,(new slideshow),,(the winning occasion),problem slideshow,,,,,,,,,,,
,tt-couple,57,i know what day it is,the ex on what would have been 2 years,text carousel,my ex texted me on what wouldve been 2 years,he made it before we broke up 😭 would u open it or leave it on read?,,,,,,,,,post 21:00 UK any week
,tt-couple,58,day 61,long distance countdown,text carousel,day 61 of long distance,61 days apart and he did this 😭 long distance: worth it or absolutely not?,,,,,,,,,post 23:00 UK for the US evening
,tt-him,59,say more than yes,1 year with a dry texter,text carousel,she asked if i even like her,she said 'say more than yes' so i wrote 47 😭 is 'yes' a full sentence or not,,,,,,,,,his side
,tt-couple,60,dont say it back yet,3 months first i love you,text carousel,"""i need to tell u something""",3 months and he hid it in a flower 😭 is 3 months too early to say it?,,,,,,,,,
,tt-couple,61,whos ur emergency contact,6 months,text carousel,i put my boyfriend as my emergency contact,6 months in and i put him on the form 😭 would u put ur partner as ur emergency contact?,,,,,,,,,the voice note is the paid extra
,tt-couple,62,it cost me 3 hours,his birthday,text carousel,he banned me from spending money on his birthday,"he said dont spend money on me so i spent 3 hours 😭 time or money, which one actually counts?",,,,,,,,,answers the price objection
,tt-couple,63,i said ur my friend,4 months the label,text carousel,he introduced me to his mum as his friend,he told his mum im his 'friend' 4 months in 😭 red flag or just awkward?,,,,,,,,,
,tt-him,64,the part i unsent,1 year the night before,text carousel,"""You unsent a message.""",we argued the night before our anniversary 😭 unsending a text: guilty or nah?,,,,,,,,,his side
,tt-couple,65,the note,2 years,text carousel,i found a note in his phone with my name on it,he's been keeping a note about me since the day we met 😭 sweet or unhinged?,,,,,,,,,300 lines since the day after they met
,tt-couple,66,227,200 days together,text carousel,i asked how long hes liked me,he answered in days not months 😭 sweet or should i be worried,,,,,,,,,the 27 days before they got together
,tt-couple,67,her,6 months,text carousel,i found an album on his phone called her,he has 620 photos of me in an album called 'her' 😭 whats the number where it gets weird?,,,,,,,,,hers is 900
,tt-him,68,40 minutes,her birthday,text carousel,she didnt reply for 40 minutes,i sent 9 texts in 40 minutes 😭 clingy or completely normal?,,,,,,,,,his side; the boy is the unhinged one
,tt-couple,69,worked tho,1 year since they met,text carousel,i found the notes app list i wrote before i met him,i wrote a list of my dream bf in january and met him in september 😭 delulu or the solulu?,,,,,,,,,her side; manifesting
,tt-him,70,im fine.,6 months,text carousel,she texted 'im fine.' with a full stop,she said 'im fine.' with a full stop so i drove 3 hours 😭 is the full stop a warning or am i mad,,,,,,,,,his side; he waits in the car park
,tt-couple,71,we need to talk,1-year anniversary,text carousel,"he texted ""we need to talk"" on our anniversary",he opened with 'we need to talk' on our ONE YEAR 😭 i had already decided who gets the dog,,,,,,,,,typing dots on slide 1; the gift is their own texts
,tt-him,72,23 times,6 months,text carousel,she opened it 23 times and thinks i cant see,she has opened it 23 times and thinks i cant see 😭 do i tell her it counts,,,,,,,,,his side; sells the open counter
,tt-him,73,wrong chat,2-year anniversary,text carousel,i sent our anniversary gift to my mum by accident,sent our 2 year anniversary link to MY MUM by accident 😭 she has now sent it to my dad,,,,,,,,,his side; mum texts in capitals
,tt-couple,74,i planted u something,anniversary,text carousel,"i said ""nothing"" and he took it literally",i said i wanted NOTHING for our anniversary and he planted me a garden 😭 keep scrolling it grows,,,,,,,,,the Garden template; she describes the scroll
,tt-couple,75,11 minutes,3 months first i love you,text carousel,he typed and deleted for 11 minutes,he was typing and deleting for 11 MINUTES and then sent me this 😭 read the ps,,,,,,,,,two sets of typing dots; the ps is the payoff
,tt-couple,76,number 12,her 18th (from her sister),text carousel,"my sister texted ""happy birthday loser"" and nothing else",my 16 year old sister made me this for my 18th and number 12 ENDED me 😭 send this to urs,,,,,,,,,not a boyfriend; sisters tag each other
,tt-couple,77,be normal about it,just because,text carousel,"""you have to be normal about it""","he spent 4 days on a free love letter website and told me to ""be normal about it"" 😭 i was not normal about it",,,,,,,,,"10 slides; the slow shape from the 2.9M post; targets the ""free website for love letter"" search"
,tt-couple,78,it's tomorrow,1-year anniversary,text carousel,"""it's tomorrow""",he spent the whole night arguing that our anniversary is TOMORROW and then sent me this 😭 the last card says 391,,,,,,,,,10 slides; slow shape; pin asks which date you count from
,tt-couple,79,press play,his birthday,text carousel,"""dont open it at ur mums""",made my boyfriend a cinema for his 20th 😭 it plays our song and he has to blow the candles out himself — 20 mins on the bus,,,,,,,,,sales shape: 4 chat + 6 gift frames; watch link clicks not views
,tt-couple,80,they dont die,just because,text carousel,"""i sent u flowers"" / ""no u didnt"",my boyfriend sent me flowers through a TEXT and they dont die 😭 for no reason too"," not even an occasion""",,,,,,,,,sales shape; she answers the price objection herself
,tt-couple,81,u dont have to water it,long distance,text carousel,"""I cant send you flowers from here""",my long distance boyfriend made me a GARDEN i can scroll through 😭 flowers cant get through customs but this can,,,,,,,,,sales shape; post 23:00 UK for the US evening peak
,tt-couple,82,dont put it on speaker,her birthday,text carousel,"""dont put it on speaker""",he told me not to put it on speaker and i did it anyway 😭 there's a VOICE NOTE at the end of my birthday gift,,,,,,,,,sales shape; sells the voice note extra
,tt-couple,83,the ones u tried to delete,best friend birthday,text carousel,"""i asked u to delete those""","i made my best friend a scrapbook of every photo she's ever asked me to delete 😭 11 years of them, took half an hour",,,,,,,,,"sales shape; narrator is the maker; pairs with 82, run a week apart"
,tt-couple,84,I have 400,his birthday,text carousel,i asked his mum for baby photos,i texted my boyfriends mum for photos of him as a baby and she sent 38 😭 he has rung her twice,,,,,,,,,"sales shape; hook drawn into slide 1; post alone that day, nothing else from the account"
,tt-couple,85,Good. Sit down.,4 months,text carousel,he lied to me for 4 months,"he waited 4 months to tell me he lied 😭 ""i had already decided. that night. in the kitchen. before you spoke to me""",,,,,,,,,"book-boyfriend register; dread breaks by slide 2; reader is the receiver, pin carries the sale"
,tt-couple,86,its mine,1 year since she messaged him,text carousel,he screenshotted my first ever message to his mates,"he screenshotted my first ever message to his group chat and said ""im in trouble"" 😭 then left me on read for 2 days",,,,,,,,,realistic register; the witness is his group chat
,tt-couple,87,0:48,"11 months, the unsent voice note",text carousel,he sent me a voice note he recorded 11 months ago,he sent me a voice note he recorded 11 MONTHS ago and never sent 😭 he whispers the whole thing because i was asleep next to him,,,,,,,,,sells the voice note extra on the free Letter; 0:48 is the locked door
,tt-couple,88,im coming over,just because,text carousel,i almost didnt send it,i made my boyfriend something and nearly didnt send it 😭 he texted me from the car outside his own house,,,,,,,,,maker's seat; 'because i cant go in yet' is the line
,tt-couple,89,dont open it yet,just because,text carousel,he said dont open it until hes here,he sent me something and said dont open it til hes here 😭 i lasted 42 minutes. should i post whats in it?,,,,,,,,,PART 1 of 2; no gift frames; caption asks for part 2; reply to every PART 2 comment
,tt-couple,90,i waited 7,just because,text carousel,you asked what was in it,part 2 — what was actually in it 😭 he started writing it 2 months before we even got together,,,,,,,,,PART 2; post 24h after 89; all six gift frames live here
,tt-couple,91,then u wouldve got it anyway,her birthday,text carousel,he scheduled it 8 months ago and forgot,"i got a gift this morning from my boyfriend that he set up in JANUARY and forgot about 😭 ""if ur reading this we made it""",,,,,,,,,scheduled send is the premise and the extra; nobody in the niche uses it
,tt-couple,92,its not finished,just because,text carousel,i found a link in his phone with my name on it,i found a link in my boyfriends phone with MY name on it 😭 he made it in july and never sent it,,,,,,,,,FOUR slides total; hook reads as a cheating story for 2 seconds
,tt-couple,93,in case,just because,text carousel,he said only open it if we ever break up,my boyfriend sent me something and said only open it if we ever break up 😭 i opened it immediately obviously,,,,,,,,,FOUR slides; dread hook breaks by slide 3; one frame of the line only
,tt-couple,94,day 3,just because,text carousel,he made it 3 days after we met,he made this 3 DAYS after we met and sat on it for 14 months 😭 i said he took ages to fall for me. he did not.,,,,,,,,,FOUR slides; the hook is a date; slide 3 must show the date
,tt-couple,95,on ur phone all week,just because,text carousel,why have u been on ur phone all week,i been moaning at my boyfriend all week for being on his phone 😭 this is what he was doing,,,,,,,,,"4 slides, no text over the image; hook is the first bubble; she is in the wrong"
,tt-couple,96,so ur not gonna say anything,her birthday,text carousel,so ur not gonna say anything,i spent 3 hours thinking my boyfriend forgot my birthday 😭 he was waiting for midnight,,,,,,,,,4 slides; the two timestamps are the reveal; ends on 'i hate u' / 'ya'
,tt-couple,97,do u even like me,just because,text carousel,do u even like me,i asked my boyfriend at 2am if he even likes me 😭 he had this saved since JUNE,,,,,,,,,4 slides; post 23:00 UK; ends on 'WEIRD' with no conclusion
,tt-couple,98,the boring stuff,long distance,photo + messenger carousel,POV: his flight is in 6 hours and he just sent you this,his flight was in 6 hours and he sent me this 😭 he kept the receipt from our first chinese,,,,,,,,,"new format: light-mode DM thread with real pfps, photo cover; part 1, ends on 'im outside'"
,tt-couple,99,he packed everything except you,long distance,photo + text carousel,POV: he packed everything except you.,did she go downstairs? | part 1,,,,,,,,,iMessage version of 98; paradox hook per @tingarchive14; caption is a question + part number
,tt-couple,100,the link still works,long distance,photo + text carousel,POV: he's been gone 3 weeks. the link still works.,87 days. is that a yes? | part 2,,,,,,,,,"part 2, 24h later; sells the open counter with no gift frames"
,tt-couple,101,he finished it anyway,after a breakup,photo + text carousel,POV: they broke up in june. he finished it anyway.,some things you finish even after. 🤍 | part 1,,,,,,,,,blueprint shape; the reason is 'i wasnt ok in june'; ends Delivered at his door
,tt-couple,102,everyone knew but her,friends to lovers,photo + text carousel,POV: everyone knew but her.,3 years. he never said a word. 🤍 | part 1,,,,,,,,,"blueprint shape; 'cool.' is the break; ends Delivered, she cancelled the date"
,tt-couple,103,she was going to end it,the misunderstanding,photo + text carousel,POV: she was going to end it. he was finishing this.,he was busy every night. now she knows why. 🤍 | part 1,,,,,,,,,blueprint shape; 'look at the dates.' is the proof; ends Delivered
,tt-couple,106,she couldn't make the wedding,wedding,photo + text carousel + gift stills,POV: she couldn't make the wedding. she still gave the toast.,she still gave the toast 🥂 tag whos giving ur toast,,,,,,,,,"happy + best friend; The Toast demo stills (envelope, pouring); maker in blue; pin has code LOVE; judge on link clicks and sales vs 99-103"
,tt-couple,107,she's allergic to flowers,just because,photo + text carousel + gift still,POV: she's allergic to flowers. he sent her some anyway.,he sent her some anyway 💐 tag ur allergic friend,,,,,,,,,"comedy, no villain; Bouquet demo still; she names every selling point; desk girl makes one for her bf"
,tt-couple,108,everyone forgot her 30th,her birthday,photo + text carousel + gift stills,POV: everyone forgot her 30th. on purpose.,on purpose 🎬 tag the friend whod organise this,,,,,,,,,"friendship; Birthday Cinema demo stills (ticket, candles out); 'everyone sent me pics' shows how it's made"
,tt-couple,109,12 years of tuesday coffees,moving away,photo + text carousel + gift stills,POV: 12 years of tuesday coffees. she moves tomorrow.,she moves tomorrow ☕ tag ur tuesday person,,,,,,,,,"best friend moving abroad; Scrapbook demo stills (cover, Little Things); 'i had the pics'"
,tt-couple,110,now she's the exhibit,mum's birthday,photo + text carousel + gift stills,POV: she reads every plaque in every museum. now she's the exhibit.,so i made her a museum 🖼️ she thought the link was a virus 😭,,,,,,,,,"family + comedy; Museum demo stills (entrance, Thirty Candles); tía wants one"
,tt-couple,111,he's drunk,just because,text carousel,What do u want / ignore it / he’s drunk (5:10 AM),would u open it? 🫣,,,,,,,,,"copy of a viral drunk-text post, slide 1 word for word; 6:13 link = the gift he made in June; ends 'U weren’t drunk in June'; jar stills ready as an optional slide 4"
,tt-couple,112,wrong chat,her birthday,text carousel,[link: maya turns 20] / WAIT / wrong chat dont open that,is it cringe? 😭,,,,,,,,,"111 shape; accidental send; made it 6 months early; ends 'i know.' with a heart; US timestamps, post 23:00 UK"
,tt-couple,113,this is his mum,just because,text carousel,Why have u been ignoring me all week / This is his mum.,his mum is the real one 😭,,,,,,,,,"111 shape; third person on his phone; mum sends the link; ends on a callback to her; UK timestamps, post 19:00 UK"
,tt-couple,114,Love Dad,leaving for uni,text carousel,Good morning. Are you awake. Love Dad,send this to ur dad 😭,,,,,,,,,111 shape; dad sign-off meme; uni week; ends 'Me too. Love Dad'; caption sends it to parents; post Sunday 19:00 UK
,tt-couple,115,no gifts,her birthday,text carousel,i swear to god if u get me anything for my birthday / NO GIFTS / ok,is it a gift or not 🎂,,,,,,,,,"111 shape; him as maker; 'websites can sing'; US timestamps, post 23:00 UK"
,tt-couple,116,the group chat,his birthday,text carousel,why is my mum sending me heart emojis at midnight,his mum wrote half the plaques 😭,,,,,,,,,"111 shape; her as maker with his mum; Museum plaques; US timestamps, post 23:00 UK"
,tt-couple,117,is that your voice,her birthday,text carousel,i hate that ur not here / put ur headphones in at 12,hes so off key 😭 ive listened 40 times,,,,,,,,,"111 shape; long distance; sells the voice message extra; UK timestamps, post 19:00 UK"
,tt-couple,118,was i first,his birthday,text carousel,are u awake / stay awake 2 more mins / please (Delivered),whos first to text u on ur birthday?,,,,,,,,,30 turned round; her as maker; Delivered twice; candles blown in front of his mum; post 23:00 UK
,tt-couple,119,30 balloons in ur phone,her birthday,text carousel + gift still,im going to sleep / not yet / theres 30 balloons in ur phone,would u stay up for this? 🎈,,,,,,,,,"111 shape + demo still (Balloons, Ana 30); him as maker; ends 'im not sleeping now'; post 23:00 UK"
,tt-couple,120,the cake stood up,her birthday,text carousel + gift still,i couldnt afford to send anything / so i made u something instead,better than a gift? 🎂,,,,,,,,,"111 shape + demo still (Pop-up Card, Ana 30); long distance, broke; 'it is a gift'; post 19:00 UK"
,tt-couple,121,u cant draw,her birthday,text carousel + gift still,[link] / u drew me a cake?? / u cant draw / i know,he cant draw 😭 | would u keep it,,,,,,,,,111 shape + demo still (Sketchbook cake page); gift-2 photo page spare; ends 'i hate u' / 'happy birthday'; post 23:00 UK
,tt-couple,122,why does my phone keep popping,dad's birthday,text carousel,[link] / Why does my phone keep popping / its ur birthday dad,send this to ur dad 😭,,,,,,,,,"111 shape, no still; dad in full sentences; 'It is the pollen.' / 'its september'; post 19:00 UK"
,tt-couple,123,your father thinks i have lost my mind,mum's birthday,text carousel,happy birthday mum / [link] / Is this a card,tag ur mum 🎂,,,,,,,,,"111 shape, no still; mum follows the steps; reads the letter in the bathroom; post 19:00 UK"
,tt-couple,124,the book of us,her birthday,text carousel,ok dont be mad / [link] / why would i be mad / OH MY GOD,every page is something she said shed forget ✏️ tag ur person,,,,,,,,,"111 shape, no still; best friends; bathroom floor photo, parking ticket; ends 'are u' / 'no'; post 23:00 UK"
